术语,定义,例句
应纳税暂时性差异,在未来期间将产生应税金额的差异。,应纳税暂时性差异产生递延所得税负债。
征税,对所得或活动征收税款的行为。,税项由当期所得税费用和递延所得税费用构成。
开采矿产资源的技术可行性和商业可行性,决定勘探和评价资产何时不再如此分类的标准。,一旦证明了开采矿产资源的技术可行性和商业可行性，这些资产即被重分类。
暂时性差异,资产的计税基础与其账面金额之间的差异。,该暂时性差异产生了一项递延所得税负债。
要约收购,公开收购股东股份的要约，通常带有溢价。,公司对全部流通在外的股份发出了要约收购。
辞退福利,因终止职工劳动关系而提供的福利。,辞退福利在要约被接受时予以确认。
商誉减值测试,每年对商誉进行的减值测试。,主体每年对商誉进行减值测试。
《汇率变动的影响》,规范外币交易及财务报表折算为列报货币的准则。,《汇率变动的影响》规范了汇兑差额的会计处理。
《设定受益资产的限制、最低筹资要求及其相互作用》,关于设定受益资产限制的解释公告。,该解释公告限制了已确认的设定受益净资产。
每股理论除权价值,配股发行后每股的理论价格。,前期每股收益按每股理论除权价值进行调整。
三分类法,将金融资产划分为三个计量类别的做法。,三分类法取代了旧的四分类模式。
货币时间价值,现有货币比未来取得的同等金额更有价值的概念。,折现率反映了货币时间价值和该负债特有的风险。
时间加权因子,用于对金额加权的期间比例。,时间加权因子反映了六个月的使用期。
在建前或在建期间预售单个单元,在建造开始之前或建造过程中销售房地产单元。,开发商开始按期房方式预售单个单元。
“制造”收益,通过资产交换创造出表面上的收益。,主体不应通过关联方之间的交换来“制造”收益。
自上而下测试,从较高层级开始的减值测试。,自上而下测试评估了较大的现金产出单元。
综合收益总额,当期损益加上其他综合收益项目的总额。,本年度的综合收益总额由损益和其他综合收益构成。
总收益互换,交换总收益的互换合同。,总收益互换转移了一项资产的经济回报。
交易日,主体承诺购买或出售资产的日期。,该购买在交易日予以确认。
交易日会计,在交易达成之日确认交易的会计处理。,在交易日会计下，资产于交易日确认。
应收账款,客户因赊购商品或服务而欠付的金额。,应收账款按交易价格扣除损失准备后的金额计量。
商业秘密,能带来竞争优势的机密商业信息。,该配方作为商业秘密受到保护。
交易性金融资产或金融负债,主要为赚取短期交易利润而持有的金融工具。,交易性金融资产按公允价值计量。
交易损益,买卖金融工具所产生的损益。,交易损益计入损益。
交易,影响财务状况的事项。,每项交易都记入会计系统。
交易费用（金融工具）,直接归属于金融工具购买、发行或处置的增量费用。,直接归属于金融负债发行的交易费用从其账面金额中扣除。
交易价格,双方之间交易的价格。,交易价格分摊至各项履约义务。
转让（转移）,资产、负债或金额在类别之间的转移。,资产向基金的转让已于六月完成。
控制权转移,主导资产使用的权力的转移。,收入在控制权转移给客户时予以确认。
风险和报酬的转移,用于确定资产控制权是否已从一方转移至另一方的判断标准。,是否终止确认取决于风险和报酬是否已经转移。
受让方,在转让中接受资产或权利的一方。,受让方承担了相关义务。
转让方,将资产转让给另一方的一方。,转让方终止确认了已转让的金融资产。
客户转让的资产,为接入网络而从客户取得的资产。,从客户转让取得的资产按公允价值确认。
过渡性负债（设定受益计划）,采用新准则时产生的额外负债。,过渡性负债在采用修订后准则时产生。
折算差额,将主体的财务报表从其功能货币折算为另一列报货币所产生的差额。,折算境外经营成果产生的折算差额计入其他综合收益。
折算方法,折算外币余额所采用的方法。,该折算方法对资产使用期末汇率。
外币折算,将一种货币的金额转换为另一种货币。,外币余额的折算使用期末汇率。
财务报表的折算,将财务报表从一种货币转换为另一种货币。,财务报表的折算使用了期末汇率。
折算为列报货币,将财务报表从功能货币转换为列报货币的过程。,资产和负债按期末汇率折算为列报货币。
透明度,对相关信息的公开、清晰的披露。,披露的透明度增强了投资者信心。
库存股,企业回购并由其持有的自身股份。,库存股从权益中扣减。
触发事项,引发重新评估或确认的事项。,触发事项要求企业对资产进行减值测试。
信托活动,企业以受托方式持有资产的活动。,信托活动需要单独披露。
受托人,代表受益人持有并管理资产的个人或实体。,受托人负责为受益人的利益管理养老基金。
双重类别普通股,具有不同股利权利的普通股。,双重类别普通股影响每股收益的计算。
两步法,对某一问题依次运用两项测试的方法。,两步法先识别义务，再对其进行计量。
最终控制方,处于控制链最顶端的主体。,最终控制方已在附注中披露。
未分配盈余,设定受益计划的资产超过负债、且未分配至特定福利的盈余部分。,养老基金中的未分配盈余已向计划成员披露。
未摊销,尚未在资产使用寿命内摊销完毕。,未摊销余额仍保留在资产负债表上。
分拆核算,对合同中可区分的组成部分分别进行会计核算。,保险人必须对某些嵌入衍生工具进行分拆核算。
