Bolum,Ingilizce_Terim,Turkce_Anlami,Ingilizce_Tanim,Ornek_Ingilizce,Ornek_Turkce
Q-R,Risk-free interest rate,Risksiz faiz oranı,Return on an investment with no default risk.,The discount rate was based on the risk-free interest rate.,İskonto oranı risksiz faiz oranına dayanıyordu.
Q-R,Risks and rewards,Risk ve getiriler,"The exposures and benefits of ownership of an asset, used to assess transfer in leasing and derecognition.",The lease transferred substantially all the risks and rewards of ownership to the lessee.,"Kiralama, mülkiyete ilişkin risk ve getirilerin büyük ölçüde tamamını kiracıya devretmiştir."
Q-R,Risks and rewards of ownership,Mülkiyetin risk ve getirileri,Exposure to gains and losses tied to owning an asset.,Transfer of risks and rewards of ownership determines recognition.,"Mülkiyetin risk ve getirilerinin devri, muhasebeleştirmeyi belirler."
Q-R,Risks associated with a leased asset,Finansal kiralama konusu varlıkla ilgili riskler,Risks arising from ownership or use of a leased asset.,Substantially all risks associated with the leased asset were transferred.,Kiralanan varlıkla ilgili risklerin tamamına yakını devredildi.
Q-R,Roll back,Tutarı geriye çekme,Reducing a carrying amount to a lower prior value.,The entity had to roll back the revaluation surplus.,"İşletme, yeniden değerleme fazlasını geriye çekmek zorunda kaldı."
Q-R,Roll forward,Tutarı ileriye taşıma,Carrying a balance forward into the next period.,The movement schedule rolls forward the provision balance.,"Hareket tablosu, karşılık bakiyesini ileriye taşır."
Q-R,Royalty,İsim hakkı,"A payment made to the owner of an asset, such as a patent or trademark, for the right to use it.",Royalty income from licensing the trademark is recognised on an accrual basis.,"Markanın lisanslanmasından elde edilen isim hakkı geliri, tahakkuk esasına göre muhasebeleştirilir."
S,Sale,Satış,Transferring an asset in exchange for consideration.,Revenue from the sale is recognised when control transfers.,"Satıştan hasılat, kontrol devredildiğinde muhasebeleştirilir."
S,Sale and leaseback transaction,Satış ve geri kiralama işlemi,Transaction where an owner sells an asset and leases it back.,The company recorded a gain on the sale and leaseback transaction.,"Şirket, satış ve geri kiralama işleminden bir kazanç kaydetti."
S,SARS,Hisse Senedi Değer Artış Hakkı (Share Appreciation Rights),Rights paying the increase in share value to employees.,Employees were granted SARS settled in cash.,Çalışanlara nakit olarak ödenen hisse senedi değer artış hakları verildi.
S,Scope,"Faaliyet alanı, içerik, kapsam",The range of transactions or entities to which a standard or policy applies.,The arrangement fell within the scope of the leasing standard.,"Sözleşme, kiralama standardının kapsamına girmiştir."
S,Scope of IFRS 2,IFRS 2’nin Kapsamı,Extent to which share-based payment rules apply.,The scope of IFRS 2 includes equity-settled awards.,IFRS 2'nin kapsamı özkaynakla ödenen hakları içerir.
S,Secondary segment information,İkincil bölüm bilgisi,Segment disclosures provided for the secondary reporting format.,Secondary segment information is reported by geographic area.,"İkincil bölüm bilgisi, coğrafi bölgeye göre raporlanır."
S,Securities,Menkul kıymetler,Tradable financial instruments such as shares and bonds.,Securities held for trading are measured at fair value.,"Alım satım amaçlı tutulan menkul kıymetler, gerçeğe uygun değeriyle ölçülür."
S,Securitisation,Menkul kıymetleştirme,Converting assets into tradable securities.,Securitisation transfers financial assets to a special purpose entity.,"Menkul kıymetleştirme, finansal varlıkları özel amaçlı bir kuruluşa devreder."
S,Segment,"Bölüm, kısım, iş dalı, faaliyet alanı",A distinguishable component of an entity for which separate financial information is available and evaluated by management.,Each segment's assets and liabilities are disclosed in the segment reporting note.,"Her bölümün varlık ve borçları, bölüm raporlaması dipnotunda açıklanır."
S,Segment assets,Bölüm varlıkları,Assets attributable to a reportable segment.,Segment assets are disclosed for each segment.,"Bölüm varlıkları, her bölüm için açıklanır."
S,Segment expense,Bölüm gideri,Expense arising from a segment's operating activities.,Segment expense includes costs directly attributable to the segment.,"Bölüm gideri, bölüme doğrudan atfedilebilen maliyetleri içerir."
S,Segment manager,Bölüm yöneticisi,Person responsible for a reportable segment's operations.,The segment manager reports results to the chief executive.,"Bölüm yöneticisi, sonuçları genel müdüre raporlar."
S,Segment profit or loss,Bölüm kâr veya zararı,The profit or loss of an operating segment as reported to the chief operating decision maker.,The segment profit or loss for each reportable segment was disclosed in the notes.,Her raporlanabilir bölüme ilişkin bölüm kâr veya zararı dipnotlarda açıklanmıştır.
S,Segment Reporting,Bölümlere göre raporlama,Disclosure of financial information by operating segment.,Segment reporting helps users assess different business lines.,"Bölümlere göre raporlama, kullanıcıların farklı iş kollarını değerlendirmesine yardımcı olur."
S,Segment result,Bölüm/iş dalı/faaliyet alanı performansı,Profit or loss of a reportable operating segment.,Segment result is reported before unallocated corporate costs.,"Bölüm performansı, dağıtılmayan genel yönetim giderlerinden önce raporlanır."
S,Segment revenue,Bölüm hasılatı,Revenue attributable to a reportable segment.,Segment revenue is disclosed for each reportable segment.,"Bölüm hasılatı, her raporlanabilir bölüm için açıklanır."
S,Self-constructed asset,İşletme tarafından inşa edilen varlık,An asset built by the entity itself.,The cost of a self-constructed asset includes directly attributable costs.,"İşletmenin inşa ettiği varlığın maliyeti, doğrudan ilişkilendirilebilen maliyetleri içerir."
S,Self-insurance,Kendi kendini sigorta,A risk management approach in which an entity retains a risk rather than transferring it to an insurer.,The entity operates a self-insurance arrangement for small property damage claims.,"İşletme, küçük çaplı maddi hasar talepleri için kendi kendini sigorta düzenlemesi uygular."
S,Selling price,Satış fiyatı,The price at which a good is sold.,The selling price determines the revenue for the unit.,"Satış fiyatı, birim için hasılatı belirler."
S,Sensitivity analysis,Duyarlılık analizi,Technique showing how outcomes change with changes in assumptions.,The bank disclosed sensitivity analysis for market risk.,"Banka, piyasa riski için duyarlılık analizi açıkladı."
S,Separability,Ayrılabilirlik,Capability of an asset to be separated and sold.,Separability is a criterion for recognising intangible assets.,"Ayrılabilirlik, maddi olmayan duran varlıkların muhasebeleştirilmesi için bir ölçüttür."
S,Separability criterion,Ayrılabilirlik kriteri,The condition that an intangible asset is capable of being separated and sold or transferred.,The software met the separability criterion and was recognised as an intangible asset.,"Yazılım, ayrılabilirlik kriterini karşılamış ve maddi olmayan duran varlık olarak muhasebeleştirilmiştir."
S,Separable assets,Ayrılabilir maddi duran varlıklar,Assets that can be separated and sold independently.,Separable assets were identified in the purchase price allocation.,Satın alma fiyatı dağıtımında ayrılabilir varlıklar belirlendi.
S,Separate financial statements,Bireysel finansal tablolar,Statements presented by a parent or investor alone.,Separate financial statements account for subsidiaries at cost.,"Bireysel finansal tablolar, bağlı ortaklıkları maliyet bedeliyle gösterir."
S,Separate liability,Ayrı borç,A liability recognised on its own rather than as part of another.,The guarantee is recognised as a separate liability.,"Garanti, ayrı bir borç olarak muhasebeleştirilir."
S,Separately identifiable,Ayrı olarak tanımlanabilir,Capable of being identified separately.,The asset is separately identifiable from goodwill.,"Varlık, şerefiyeden ayrı olarak tanımlanabilir."
S,Service Concession Arrangement,İmtiyazlı Hizmet Anlaşması,An arrangement in which a government grants a private operator the right to provide public services over a specified period.,"Under a service concession arrangement, the operator recognises a financial asset or an intangible asset.","Bir imtiyazlı hizmet anlaşması kapsamında işletmeci, bir finansal varlık veya maddi olmayan duran varlık muhasebeleştirir."
S,Service cost,Hizmet maliyeti,The benefit earned in the current period.,Service cost is recognised in profit or loss.,"Hizmet maliyeti, kâr veya zararda muhasebeleştirilir."
S,Service date,Hizmet tarihi,Date on which an employee provides services under a plan.,Benefits accrue from the employee's service date.,"Faydalar, çalışanın hizmet tarihinden itibaren tahakkuk eder."
S,Service mark,Hizmet markası,Trademark distinguishing services of one provider.,The company registered a service mark for its brand.,"Şirket, markası için bir hizmet markası tescil ettirdi."
S,Servicing asset,Hizmet varlığı,A right to receive fees for servicing financial assets that exceed adequate compensation.,The retained servicing asset was measured at fair value at inception.,"Elde tutulan hizmet varlığı, başlangıçta gerçeğe uygun değerinden ölçülmüştür."
S,Servicing costs,Hizmet maliyeti,Costs of administering loans or assets for others.,Servicing costs reduced the net interest income.,Hizmet maliyeti net faiz gelirini azalttı.
S,Servicing liabilities,Hizmet sunma yükümlülükleri,Obligations to service financial assets retained after transfer.,Servicing liabilities are measured at fair value initially.,"Hizmet sunma yükümlülükleri, başlangıçta gerçeğe uygun değerle ölçülür."
S,Servicing liability,Hizmet borcu,An obligation to service financial assets.,A servicing liability was recognised for the retained servicing.,Elde tutulan hizmet için bir hizmet borcu muhasebeleştirildi.
S,Servicing rights,Hizmet sunma hakları,Rights to service transferred financial assets.,Servicing rights are recognised when the assets are transferred.,"Hizmet sunma hakları, varlıklar devredildiğinde muhasebeleştirilir."
S,Set of financial statements,Finansal tablolar seti,"The complete group of statements required to present an entity's financial position, performance and cash flows.","A complete set of financial statements includes a statement of financial position, a statement of profit or loss and other statements.","Tam bir finansal tablolar seti; finansal durum tablosu, kâr veya zarar tablosu ve diğer tabloları içerir."
