Bolum,Ingilizce_Terim,Almanca_Anlami,Almanca_Tanim,Ornek_Almanca
S,State-controlled entities,Staatlich kontrollierte Unternehmen,"Unternehmen, die durch Eigentum oder Machtausübung von staatlicher Seite kontrolliert werden.",Staatlich kontrollierte Unternehmen können bestimmte Befreiungen von Angabepflichten in Anspruch nehmen.
S,Stated or implied substantive terms,Ausdrücklich vereinbarte oder stillschweigend unterstellte wesentliche Vertragsbedingungen,"Die ausdrücklichen oder impliziten Bedingungen eines Vertrags, die durchsetzbare Rechte und Pflichten begründen.","Die ausdrücklich vereinbarten oder stillschweigend unterstellten wesentlichen Bedingungen des Vertrags deuteten darauf hin, dass ein Leasingvertrag vorlag."
S,Statement of cash flows = cash flow statement,Kapitalflussrechnung,"Eine Rechnung, die die Zu- und Abflüsse von Zahlungsmitteln eines Zeitraums darstellt.",Die Kapitalflussrechnung weist die laufende Geschäftstätigkeit (Betätigungsaktivitäten) aus.
S,Statement of changes in equity,Eigenkapitalveränderungsrechnung,"Eine Rechnung, die die Bewegungen im Eigenkapital während der Periode zeigt.",Die Eigenkapitalveränderungsrechnung gleicht Anfangs- und Endbestände miteinander ab.
S,Statement of compliance with IFRSs,Erklärung zur Übereinstimmung mit den IFRS,"Eine Erklärung, dass der Abschluss den IFRS entspricht.",Die Erklärung zur Übereinstimmung mit den IFRS muss ausdrücklich und vorbehaltlos erfolgen.
S,Statement of comprehensive income,Gesamtergebnisrechnung,"Eine Rechnung, die das Ergebnis der Gewinn- und Verlustrechnung und das sonstige Gesamtergebnis ausweist.",Die Gesamtergebnisrechnung umfasst die Neubewertungsgewinne (Aufwertungsgewinne).
S,Statement of financial position,Bilanz (Statement of Financial Position),"Ein Abschlussbestandteil, der die Vermögenswerte, Schulden und das Eigenkapital eines Unternehmens zu einem bestimmten Zeitpunkt darstellt.","Die Bilanz weist Vermögenswerte, Schulden und Eigenkapital am Ende der Berichtsperiode aus."
S,Statement of income = ıncome statement,Gewinn- und Verlustrechnung (GuV),"Die Rechnung, die den Gewinn oder Verlust ausweist.",Die Gewinn- und Verlustrechnung weist Umsatzerlöse und Aufwendungen aus.
S,Step-by-step method,Schrittweises Vorgehen (Stufenmethode),"Vorgehensweise, bei der ein Geschäftsvorfall in aufeinanderfolgenden Schritten analysiert wird.",Zur Beurteilung des eingebetteten Derivats wurde die Stufenmethode (schrittweises Vorgehen) angewandt.
S,Stepped interest,Gestaffelte Verzinsung,"Zinssatz, der zu vorher festgelegten Zeitpunkten (Stufen) wechselt.","Der Kredit war mit einer gestaffelten Verzinsung ausgestattet, die jedes Jahr anstieg."
S,Stewardship of management,Rechenschaftspflicht (Stewardship) des Managements,Die Verantwortlichkeit des Managements für die ihm von den Eigentümern anvertrauten Ressourcen.,"Informationen über die Rechenschaftspflicht des Managements helfen den Nutzern zu beurteilen, wie effizient die Ressourcen eingesetzt werden."
S,Stock exchange listing,Börsenzulassung (Börsennotierung),Zulassung der Wertpapiere eines Unternehmens zum Börsenhandel.,Die Börsennotierung brachte neues Kapital ein.
S,Stop-loss (Reinsurance),Stop-Loss-Rückversicherung,"Rückversicherung, die Schäden oberhalb einer vereinbarten Grenze abdeckt.",Der Stop-Loss-Vertrag schützt vor katastrophalen Schadenfällen.
S,Straight debt,Reine (strukturfreie) Schuldverschreibung,Verschuldung ohne eingebettete Derivate oder Eigenkapitalmerkmale.,Einfache Schuldverschreibungen werden zu fortgeführten Anschaffungskosten bewertet.
S,Straight-line method,Lineare Abschreibungsmethode,Gleichmäßige Verteilung der Kosten auf die Nutzungsdauer.,Bei der linearen Methode wird jedes Jahr die gleiche Abschreibung erfasst.
S,Stress test,Stresstest,"Eine Analyse, die beurteilt, wie sich die finanzielle Lage eines Unternehmens unter ungünstigen Szenarien entwickeln würde.","Die Bank führte einen Stresstest durch, um ihre Kapitaladäquanz unter ungünstigen wirtschaftlichen Bedingungen zu beurteilen."
S,Subsequent gain,Späterer (nachträglicher) Gewinn,"Ein Gewinn, der nach der Ersterfassung entsteht.",Ein späterer Gewinn wurde in der Gewinn- und Verlustrechnung erfasst.
S,Subsidiary,Tochterunternehmen,"Ein Unternehmen, das von einem anderen Unternehmen, dem Mutterunternehmen, beherrscht wird.",Das Mutterunternehmen konsolidiert alle seine Tochterunternehmen.
S,Subsidies,Subventionen (staatliche Beihilfen),"Staatliche Unterstützung, die einem Unternehmen gewährt wird.",Staatliche Subventionen wurden über den Zeitraum als Ertrag erfasst.
S,Substance over form,Priorität des wirtschaftlichen Gehalts vor der rechtlichen Form,"Der Grundsatz, dass Geschäftsvorfälle nach ihrem wirtschaftlichen Gehalt und nicht nur nach ihrer rechtlichen Form abgebildet werden.",Unter Anwendung des Grundsatzes der Priorität des wirtschaftlichen Gehalts vor der rechtlichen Form wurde der Geschäftsvorfall als Finanzierungsarrangement behandelt.
S,Substantively enacted,Im Wesentlichen verabschiedet (substantively enacted),"Ein Gesetz, das dem Inhalt nach beschlossen ist, jedoch noch nicht formell in Kraft getreten ist.",Die latenten Steuern wurden unter Verwendung im Wesentlichen verabschiedeter Steuersätze bemessen.
S,Superannuation scheme,Altersversorgungsplan (Superannuation),"Ein Altersversorgungsplan, der seinen Mitgliedern Renten gewährt.",Die Arbeitnehmer leisten monatliche Beiträge zum Altersversorgungsplan.
S,Superseded versions,Ersetzte (überholte) Fassungen,"Frühere Fassungen eines Standards, die durch eine neue ersetzt wurden.",Ersetzte Fassungen des Standards sind nicht mehr anzuwenden.
S,Supervisory non-management directors,Überwachende nicht geschäftsführende Direktoren (Non-Executive-Directors),"Vorstands- bzw. Verwaltungsratsmitglieder, die nicht dem Management angehören.","Die nicht geschäftsführenden, überwachenden Direktoren überwachen das Management."
S,Supplier,Lieferant,"Eine Partei, die einem Unternehmen im gewöhnlichen Geschäftsverlauf Waren oder Dienstleistungen bereitstellt.","Das Unternehmen verhandelte die Zahlungsbedingungen mit seinem Hauptlieferanten neu, um das Working Capital zu verbessern."
S,Supply agreement,Liefervereinbarung (Bezugsvertrag),Eine Vereinbarung über die Lieferung von Waren oder Dienstleistungen.,Die Liefervereinbarung legt die Preise für fünf Jahre fest.
S,Surety bonds,Bürgschaftsurkunden (Kautionsbürgschaften),"Urkunden, die die Erfüllung der Verpflichtung einer anderen Partei garantieren.",Zur Absicherung des Bauvertrags wurden Bürgschaftsurkunden ausgestellt.
S,Surplus in the plan,Planüberschuss (Überdeckung des Plans),Der Überschuss der Planvermögenswerte über die Leistungsverpflichtungen.,Ein Planüberschuss wurde als Vermögenswert angesetzt.
S,Surrender option,Rückkaufsoption (Kündigungsrecht des Versicherungsnehmers),"Das Recht des Versicherungsnehmers, einen Versicherungsvertrag zu kündigen und einen Rückkaufswert zu erhalten.",Bei der Bewertung der Versicherungsverbindlichkeit wurde die Rückkaufsoption berücksichtigt.
S,Surrender risk,Storno- (Rückkauf-)Risiko,"Das Risiko, dass ein Versicherungsnehmer den Vertrag vorzeitig kündigt.",Versicherer schätzen das Storno- (Rückkauf-)Risiko bei der Bewertung der Verbindlichkeiten.
S,Surrender values,Rückkaufswerte,"Beträge, die bei vorzeitiger Kündigung einer Versicherungspolice zu zahlen sind.",Die Rückkaufswerte sind in den ersten Vertragsjahren niedriger.
S,Surrogate measure,Ersatzmessgröße (Surrogat),"Eine Ersatzmessgröße, die verwendet wird, wenn eine direkte Messgröße nicht verfügbar ist.",Zur Schätzung des beizulegenden Zeitwerts wurde eine Ersatzmessgröße verwendet.
S,Swap contract,Swap-Vertrag,Eine Vereinbarung zum Austausch von Cashflows.,Der Zinsswap sichert den variablen Zinssatz ab.
S,Swaption,Swaption (Option auf einen Swap),"Eine Option, die dem Inhaber das Recht einräumt, zu einem späteren Zeitpunkt einen Zinsswap abzuschließen.","Das Unternehmen erwarb eine Swaption, um sich gegen einen künftigen Anstieg der Zinssätze abzusichern."
S,Symmetrical approach,Symmetrischer Ansatz,Gleichartige (symmetrische) Behandlung beider Parteien.,Der symmetrische Ansatz gewährleistet eine einheitliche Behandlung.
S,Syndication,Konsortialbildung (Syndizierung),"Gestaltung, bei der mehrere Kreditgeber gemeinsam eine Finanzierung bereitstellen.",Der Kredit wurde über ein Konsortium von fünf Banken arrangiert.
S,Synthetic instrument,Synthetisches Instrument,"Ein Instrument, das mit Derivaten die Wertentwicklung eines anderen Instruments nachbildet.",Aus zwei Derivatkontrakten wurde ein synthetisches Instrument gebildet.
T,Tainting,Regelanverstoß mit Ansteckungseffekt (Tainting),"Die Folge des Verkaufs von bis zur Endfälligkeit gehaltenen Investitionen, durch die das Unternehmen gezwungen wird, das übrige Portfolio umzugliedern.","Der Verkauf der Anleihen führte zu einem Regelanverstoß (Tainting), und die übrigen Investitionen wurden als zur Veräußerung verfügbar umklassifiziert."
T,Take-or-pay contract,Take-or-Pay-Vertrag (Abnahme- oder Zahlungsverpflichtung),"Vertrag, der eine Zahlung verlangt, selbst wenn die Waren nicht abgenommen werden.",Der Take-or-Pay-Vertrag garantierte Mindestzahlungen.
T,Tangible asset,Materieller Vermögenswert (Sachvermögen),"Ein Vermögenswert mit physischer Form, der zur Nutzung oder Veräußerung gehalten wird.",Materielle Vermögenswerte umfassen Maschinen und Gebäude.
T,Tangible fixed asset,Sachanlagevermögen (materielles Anlagevermögen),"Ein körperlicher Vermögenswert, der zur Nutzung im Geschäftsbetrieb gehalten wird.",Maschinen werden als Sachanlagen angesetzt.
T,Targeted exemptions,Gezielte (begrenzte) Ausnahmen,Begrenzte Ausnahmen von einer Anforderung.,Gezielte Ausnahmen verringern die Kosten der erstmaligen Anwendung.
T,Tax,Steuer,"Ein Zwangsbeitrag, den ein Staat auf Einkommen, Gewinne oder Transaktionen erhebt.","Die laufende Steuer wird mit dem Betrag bemessen, der voraussichtlich an die Steuerbehörden zu zahlen ist."
T,Tax base,Steuerausgangswert (Bemessungsgrundlage),"Der Betrag, der einem Vermögenswert für Steuerzwecke zugerechnet wird.",Der Steuerausgangswert weicht vom Buchwert ab.
T,Tax base of an asset or liability,Steuerausgangswert eines Vermögenswerts oder einer Verbindlichkeit,"Der Betrag, der einem Vermögenswert oder einer Verbindlichkeit für Steuerzwecke zugerechnet wird.",Der Steuerausgangswert des Vermögenswerts weicht von dessen Buchwert ab.
T,Tax benefit,Steuervorteil,Eine Verringerung der zu zahlenden Steuern oder eine Erhöhung der aktiven latenten Steuern.,Die abzugsfähige temporäre Differenz führte zu einem Steuervorteil.
T,Tax effects,Steuereffekte,"Die Ertragsteuerfolgen eines Geschäftsvorfalls oder einer Berichtigung, die im Abschluss erfasst werden.",Die Steuereffekte der Neubewertung wurden im sonstigen Gesamtergebnis erfasst.
T,Tax expense (tax income),Steueraufwand (-ertrag),Der in der Gewinn- und Verlustrechnung erfasste Gesamtbetrag der Steuern.,Der Steueraufwand stieg aufgrund höherer latenter Steuern.
T,Tax jurisdiction,Steuerrechtsgebiet (Steuerhoheit),Ein Land oder eine Region mit eigener Steuerbehörde.,Latente Steuern werden für jedes Steuerrechtsgebiet getrennt bemessen.
T,Tax liability,Steuerschuld,Eine Verpflichtung zur Zahlung von Steuern an eine Steuerbehörde.,Die laufende Steuerschuld wird innerhalb von zwölf Monaten beglichen.
T,Tax purposes,Steuerliche Zwecke,Zwecke im Zusammenhang mit der Besteuerung.,Der Steuerausgangswert des Vermögenswerts wird für steuerliche Zwecke ermittelt.
T,Tax rate,Steuersatz,"Der Prozentsatz, mit dem das steuerpflichtige Einkommen oder der steuerpflichtige Gewinn eines Unternehmens besteuert wird.","Die latenten Steuerbeträge wurden mit dem Steuersatz neu bemessen, von dem erwartet wird, dass er bei Erfüllung der Verbindlichkeit gilt."
T,Taxable profit (tax loss),Steuerpflichtiger Gewinn (steuerlicher Verlust),Für Steuerzwecke ermittelter Gewinn oder Verlust.,Der steuerpflichtige Gewinn wird nach dem Steuerrecht ermittelt.
T,Taxable temporary difference,Zu versteuernde temporäre Differenz,"Eine Differenz, die in künftigen Perioden zu steuerpflichtigen Beträgen führt.",Eine zu versteuernde temporäre Differenz führt zu einer latenten Steuerverbindlichkeit.
T,Taxation,Besteuerung,Die Erhebung von Steuern auf Einkommen oder Tätigkeiten.,Die Besteuerung umfasst den Aufwand für laufende und latente Steuern.
T,Technical feasibility and commercial viability of extracting a mineral resource,Technische Machbarkeit und kommerzielle Tragfähigkeit der Gewinnung eines mineralischen Rohstoffs,"Die Kriterien, die bestimmen, wann Vermögenswerte der Aufsuchung und Bewertung nicht mehr als solche eingestuft werden.","Sobald die technische Machbarkeit und kommerzielle Tragfähigkeit der Gewinnung eines mineralischen Rohstoffs nachgewiesen war, wurden die Vermögenswerte neu klassifiziert."
T,Temporary difference,Temporäre Differenz / zeitlicher Unterschied,Differenz zwischen dem Steuerwert und dem Buchwert eines Vermögenswerts.,Der zeitliche Unterschied führte zu einer latenten Steuerverbindlichkeit.
T,Tender offer,Öffentliches Übernahmeangebot / öffentliches Kaufangebot,"Öffentliches Angebot zum Erwerb der Anteile von Aktionären, häufig gegen eine Prämie.",Das Unternehmen unterbreitete ein öffentliches Übernahmeangebot für alle im Umlauf befindlichen Aktien.
T,Termination benefits,Abfindungsleistungen / Leistungen bei Beendigung des Arbeitsverhältnisses,"Leistungen, die bei der Beendigung des Arbeitsverhältnisses eines Arbeitnehmers gewährt werden.","Abfindungsleistungen werden angesetzt, wenn das Angebot angenommen wird."
T,Tests goodwill for impairment,Wertminderungstest des Firmenwerts (Werthaltigkeitstest),Jährliche Prüfung des Firmenwerts auf Wertminderung.,Das Unternehmen führt den Wertminderungstest des Firmenwerts jährlich durch.
T,The Effects of Changes in Foreign Exchange Rates,Auswirkungen von Wechselkursänderungen (IAS 21),"Der Standard, der die Umrechnung von Fremdwährungsgeschäften und Abschlüssen in die Berichterstattungswährung regelt.","IAS 21 (Auswirkungen von Wechselkursänderungen) schreibt vor, wie Kursdifferenzen zu erfassen sind."
T,"The Limit on a Defined Benefit Asset, Minimum Funding Requirements and Their Interaction","Die Begrenzung eines Vermögenswerts aus leistungsorientierten Plänen, Mindestfinanzierungsanforderungen und deren Wechselwirkung (IFRIC 14)",Interpretation zur Begrenzung eines Vermögenswerts aus leistungsorientierten Plänen.,Die Interpretation begrenzt den anzusetzenden Nettovermögenswert aus dem leistungsorientierten Plan.
T,Theoretical ex-rights value per share,Theoretischer Wert je Aktie nach Bezugsrechtsausübung (Ex-Rechte-Wert),Theoretischer Preis je Aktie nach einer Bezugsrechtsemission.,Das Ergebnis je Aktie für frühere Perioden wird anhand des theoretischen Werts je Aktie nach Bezugsrechtsausübung angepasst.
T,Three-category approach,Dreikategorienansatz,Klassifizierung finanzieller Vermögenswerte in drei Bewertungskategorien.,Der Dreikategorienansatz löste das ältere Vierkategorienmodell ab.
T,Time value of money,Zeitwert des Geldes,"Das Konzept, dass heute verfügbares Geld mehr wert ist als derselbe Betrag, der erst in der Zukunft eingegangen wird.",Der Abzinsungszinssatz spiegelte den Zeitwert des Geldes und die spezifischen Risiken der Verbindlichkeit wider.
T,Time-weighting factor,Zeitgewichtungsfaktor,"Anteil einer Periode, mit dem ein Betrag gewichtet wird.",Der Zeitgewichtungsfaktor spiegelte sechs Monate Nutzung wider.
T,To market individual units ‘off plan’,Off-Plan-Vermarktung einzelner Einheiten (vor oder während der Bauausführung),Verkauf von Immobilien vor oder während der Bauausführung.,"Der Bauträger begann, einzelne Einheiten bereits vor Baubeginn zu vermarkten."
T,To ‘manufacture’ gains,Künstliche Gewinne erzeugen (durch Tausch von Vermögenswerten),Erzeugen scheinbarer Gewinne durch Tauschgeschäfte mit Vermögenswerten.,Unternehmen sollten keine Scheingewinne durch Tauschgeschäfte mit nahestehenden Parteien erzeugen.
T,Top-down test,Top-down-Test (Prüfung von oben nach unten),"Ein Wertminderungstest, der auf einer höheren Ebene beginnt.",Der Top-down-Test bewertet die größere zahlungsstromerzeugende Einheit.
T,Total comprehensive income,Gesamtergebnis,Die Summe aus dem Periodenergebnis (Gewinn oder Verlust) und den Posten des sonstigen Gesamtergebnisses.,Das Gesamtergebnis des Jahres umfasst das Periodenergebnis (Gewinn oder Verlust) und das sonstige Gesamtergebnis.
T,Total return swap,Total Return Swap (Tausch von Gesamtrenditen),"Ein Swap, bei dem Gesamtrenditen ausgetauscht werden.",Der Total Return Swap überträgt die wirtschaftliche Rendite eines Vermögenswerts.
